,Cena,Oferta od,Rok produkcji,Przebieg,Pojemność skokowa,Rodzaj paliwa,Moc,Skrzynia biegów,Napęd,Typ nadwozia,Kolor,Stan
772,209900,Firmy,2021,27008,1968,Diesel,204,Automatyczna,Na przednie koła,Sedan,Srebrny,Używane
773,132900,Firmy,2017,102200,1968,Diesel,190,Automatyczna,Na przednie koła,Kombi,Czarny,Używane
774,269000,Osoby prywatnej,2018,36000,2995,Benzyna,340,Automatyczna,4x4 (stały),Sedan,Czarny,Używane
775,167900,Osoby prywatnej,2017,76000,1984,Benzyna,252,Automatyczna,4x4 (stały),Kombi,Czarny,Używane
776,66000,Osoby prywatnej,2013,192000,1968,Diesel,190,Manualna,Na przednie koła,Kombi,Srebrny,Używane
777,130900,Firmy,2017,168000,1968,Diesel,190,Automatyczna,4x4 (stały),Kombi,Inny kolor,Używane
778,79900,Firmy,2014,174000,1968,Diesel,177,Automatyczna,Na przednie koła,Kombi,Szary,Używane
779,18900,Osoby prywatnej,2014,197432,2967,Diesel,272,Automatyczna,4x4 (stały),Kombi,Szary,Używane
780,20950,Osoby prywatnej,2007,271000,2698,Diesel,180,Automatyczna,4x4 (dołączany automatycznie),Kombi,Srebrny,Używane
781,64900,Osoby prywatnej,2012,242900,1968,Diesel,177,Automatyczna,Na przednie koła,Kombi,Szary,Używane
782,11999,Osoby prywatnej,2004,299900,2496,Diesel,163,Automatyczna,Na przednie koła,Kombi,Czarny,Używane
783,35600,Osoby prywatnej,2010,240000,1968,Diesel,136,Manualna,Na przednie koła,Kombi,Czarny,Używane
784,135000,Firmy,2019,118000,1968,Diesel,204,Automatyczna,4x4 (dołączany automatycznie),Sedan,Czarny,Używane
785,28500,Osoby prywatnej,2007,280000,2967,Diesel,224,Automatyczna,4x4 (dołączany automatycznie),Sedan,Inny kolor,Używane
786,18000,Osoby prywatnej,1997,265000,2598,Benzyna,150,Automatyczna,Na przednie koła,Kombi,Fioletowy,Używane
787,16000,Osoby prywatnej,2002,240000,2671,Benzyna+LPG,250,Manualna,4x4 (stały),Sedan,Srebrny,Używane
788,219900,Osoby prywatnej,2017,106000,2967,Diesel,326,Automatyczna,4x4 (stały),Kombi,Szary,Używane
789,72400,Firmy,2014,124000,1968,Diesel,150,Manualna,Na przednie koła,Kombi,Czarny,Używane
790,59000,Osoby prywatnej,2013,201000,1968,Diesel,177,Manualna,Na przednie koła,Kombi,Czarny,Używane
791,89900,Firmy,2016,211208,1968,Diesel,150,Automatyczna,Na przednie koła,Kombi,Szary,Używane
792,233000,Osoby prywatnej,2021,8100,2967,Diesel,245,Automatyczna,4x4 (stały),Sedan,Czarny,Używane
793,7400,Osoby prywatnej,1996,388000,2461,Diesel,140,Manualna,Na przednie koła,Kombi,Inny kolor,Używane
794,5900,Osoby prywatnej,1997,431500,1893,Diesel,90,Manualna,Na przednie koła,Sedan,Inny kolor,Używane
795,67900,Osoby prywatnej,2012,200000,1968,Diesel,177,Automatyczna,Na przednie koła,Kombi,Biały,Używane
796,22500,Osoby prywatnej,2005,269000,3123,Benzyna,255,Automatyczna,4x4 (dołączany automatycznie),Sedan,Srebrny,Używane
797,113900,Osoby prywatnej,2018,49500,1968,Diesel,190,Automatyczna,Na przednie koła,Sedan,Czarny,Używane
798,30900,Osoby prywatnej,2008,295000,2698,Diesel,180,Automatyczna,4x4 (stały),Kombi,Czerwony,Używane
799,55500,Firmy,2011,149000,1968,Diesel,177,Manualna,Na przednie koła,Sedan,Niebieski,Używane
800,17500,Osoby prywatnej,2006,238000,2393,Benzyna,177,Automatyczna,Na przednie koła,Sedan,Srebrny,Używane
801,119000,Osoby prywatnej,2016,87248,1984,Benzyna,252,Automatyczna,4x4 (dołączany automatycznie),Sedan,Czarny,Używane
802,139999,Osoby prywatnej,2015,155618,2967,Diesel,320,Automatyczna,4x4 (stały),Kombi,Szary,Używane
803,9900,Osoby prywatnej,1994,247300,1984,Benzyna,115,Manualna,Na przednie koła,Sedan,Srebrny,Używane
804,82900,Osoby prywatnej,2015,215000,1968,Diesel,190,Automatyczna,Na przednie koła,Kombi,Czarny,Używane
805,44600,Osoby prywatnej,2009,171000,2995,Benzyna,290,Automatyczna,4x4 (stały),Kombi,Niebieski,Używane
806,19500,Osoby prywatnej,2001,122432,2976,Benzyna,220,Automatyczna,4x4 (stały),Kombi,Niebieski,Używane
807,82000,Osoby prywatnej,2013,115000,2967,Diesel,204,Automatyczna,4x4 (stały),Sedan,Biały,Używane
808,258300,Osoby prywatnej,2018,149000,2967,Diesel,231,Automatyczna,4x4 (stały),Sedan,Czarny,Używane
809,145900,Firmy,2017,81994,2967,Diesel,218,Automatyczna,Na przednie koła,Kombi,Czarny,Używane
810,167900,Firmy,2018,86201,2967,Diesel,272,Automatyczna,4x4 (stały),Sedan,Czarny,Używane
811,22800,Osoby prywatnej,2007,289000,1968,Diesel,140,Manualna,Na przednie koła,Kombi,Czarny,Używane
812,64999,Osoby prywatnej,2012,170000,1984,Benzyna,180,Automatyczna,Na przednie koła,Sedan,Czarny,Używane
813,25000,Osoby prywatnej,2007,287000,2967,Diesel,233,Manualna,4x4 (stały),Kombi,Srebrny,Używane
814,41000,Osoby prywatnej,2009,247200,2967,Diesel,233,Automatyczna,4x4 (stały),Kombi,Srebrny,Używane
815,11900,Osoby prywatnej,2003,316700,2393,Benzyna+LPG,170,Automatyczna,Na przednie koła,Sedan,Czarny,Używane
816,39900,Osoby prywatnej,2009,190000,2995,Benzyna,290,Automatyczna,4x4 (stały),Kombi,Szary,Używane
817,64800,Osoby prywatnej,2011,220000,2995,Benzyna,299,Automatyczna,4x4 (stały),Sedan,Inny kolor,Używane
818,11899,Osoby prywatnej,1996,285000,2600,Benzyna,150,Manualna,Na przednie koła,Kombi,Niebieski,Używane
819,79900,Osoby prywatnej,2013,143500,1968,Diesel,177,Automatyczna,Na przednie koła,Sedan,Szary,Używane
820,14999,Osoby prywatnej,1997,313400,2771,Benzyna,193,Manualna,4x4 (stały),Sedan,Zielony,Używane
821,89999,Firmy,2016,160000,1968,Diesel,150,Automatyczna,Na przednie koła,Sedan,Czarny,Używane
822,36900,Firmy,2011,266000,2698,Diesel,190,Automatyczna,4x4 (stały),Kombi,Szary,Używane
823,20900,Osoby prywatnej,2004,235000,2967,Diesel,224,Automatyczna,4x4 (stały),Sedan,Czarny,Używane
824,39900,Firmy,2009,244209,2773,Benzyna,190,Manualna,Na przednie koła,Kombi,Czarny,Używane
825,65000,Osoby prywatnej,2013,238000,2967,Diesel,204,Automatyczna,4x4 (stały),Kombi,Czarny,Używane
826,18000,Osoby prywatnej,2006,326206,2698,Diesel,180,Automatyczna,Na przednie koła,Kombi,Srebrny,Używane
827,8300,Osoby prywatnej,1998,220000,1800,Benzyna+LPG,149,Manualna,Na przednie koła,Sedan,Inny kolor,Używane
828,21999,Osoby prywatnej,2004,199204,2393,Benzyna,177,Manualna,Na przednie koła,Sedan,Inny kolor,Używane
829,10500,Firmy,2001,226500,2000,Benzyna+LPG,130,Manualna,Na przednie koła,Sedan,Niebieski,Używane
830,14900,Osoby prywatnej,2003,256433,1896,Diesel,130,Manualna,Na przednie koła,Sedan,Czarny,Używane
831,105000,Osoby prywatnej,2018,160000,1968,Diesel,190,Automatyczna,Na przednie koła,Kombi,Biały,Używane
832,25900,Osoby prywatnej,2006,260000,2393,Benzyna,177,Automatyczna,Na przednie koła,Sedan,Czarny,Używane
833,6090,Firmy,2013,249614,2967,Diesel,204,Manualna,4x4 (stały),Kombi,Czarny,Używane
834,26000,Osoby prywatnej,2008,292430,2698,Diesel,180,Automatyczna,Na przednie koła,Kombi,Szary,Używane
835,269800,Firmy,2019,123000,2967,Diesel,286,Automatyczna,4x4 (stały),Kombi,Czarny,Używane
836,11900,Osoby prywatnej,2000,340000,2400,Benzyna+LPG,165,Automatyczna,Na przednie koła,Kombi,Fioletowy,Używane
837,19900,Osoby prywatnej,2008,238300,1984,Benzyna,170,Manualna,Na przednie koła,Kombi,Czarny,Używane
838,43800,Osoby prywatnej,2010,205000,2698,Diesel,190,Automatyczna,Na przednie koła,Kombi,Brązowy,Używane
839,18800,Osoby prywatnej,2006,546000,2698,Diesel,180,Automatyczna,Na przednie koła,Kombi,Czarny,Używane
840,25500,Firmy,2011,259000,2698,Diesel,190,Manualna,Na przednie koła,Kombi,Czarny,Używane
841,249000,Firmy,2021,31233,1968,Diesel,204,Automatyczna,Na przednie koła,Kombi,Srebrny,Używane
842,52500,Osoby prywatnej,2012,289000,1968,Diesel,170,Manualna,Na przednie koła,Kombi,Inny kolor,Używane
843,29500,Osoby prywatnej,2007,229000,2967,Diesel,233,Automatyczna,4x4 (stały),Kombi,Czarny,Używane
844,140000,Firmy,2019,52200,2995,Benzyna,340,Automatyczna,4x4 (dołączany automatycznie),Sedan,Czarny,Używane
845,9000,Osoby prywatnej,2007,275000,2967,Diesel,233,Automatyczna,4x4 (stały),Kombi,Szary,Używane
846,99900,Firmy,2016,237000,2967,Diesel,272,Automatyczna,4x4 (stały),Kombi,Czarny,Używane
847,119900,Firmy,2017,146600,2000,Diesel,190,Automatyczna,Na przednie koła,Sedan,Biały,Używane
848,10500,Osoby prywatnej,1999,392421,2395,Benzyna+LPG,167,Automatyczna,Na przednie koła,Sedan,Czarny,Używane
849,165900,Firmy,2018,126100,3000,Diesel,272,Automatyczna,4x4 (stały),Kombi,Czarny,Używane
850,27500,Osoby prywatnej,2009,328000,1968,Diesel,136,Automatyczna,Na przednie koła,Kombi,Czarny,Używane
851,69900,Osoby prywatnej,2013,263600,2967,Diesel,204,Automatyczna,Na przednie koła,Sedan,Brązowy,Używane
852,245900,Firmy,2018,91300,3000,Diesel,286,Automatyczna,4x4 (dołączany automatycznie),Kombi,Niebieski,Używane
853,234900,Firmy,2021,59000,1984,Benzyna,265,Automatyczna,4x4 (stały),Sedan,Srebrny,Używane
854,6500,Osoby prywatnej,2001,237000,1984,Benzyna+LPG,130,Automatyczna,Na przednie koła,Kombi,Inny kolor,Używane
855,219000,Firmy,2021,27487,1968,Diesel,204,Automatyczna,Na przednie koła,Kombi,Niebieski,Używane
856,266900,Firmy,2021,17033,3000,Diesel,245,Automatyczna,4x4 (dołączany automatycznie),Kombi,Czarny,Używane
857,175900,Firmy,2018,134900,2000,Diesel,204,Automatyczna,Na przednie koła,Sedan,Czarny,Używane
858,244900,Firmy,2021,28186,1984,Benzyna,265,Automatyczna,4x4 (dołączany automatycznie),Sedan,Srebrny,Używane
859,26500,Osoby prywatnej,2007,177000,2967,Diesel,233,Automatyczna,4x4 (stały),Sedan,Czarny,Używane
860,77500,Osoby prywatnej,2012,155000,2995,Benzyna,310,Automatyczna,4x4 (stały),Sedan,Inny kolor,Używane
861,46800,Firmy,2010,164549,1968,Diesel,170,Automatyczna,Na przednie koła,Sedan,Szary,Używane
862,2500,Osoby prywatnej,2000,254000,1984,Benzyna,170,Manualna,Na przednie koła,Kombi,Niebieski,Używane
863,35600,Osoby prywatnej,2005,167000,4163,Benzyna+LPG,334,Automatyczna,4x4 (stały),Kombi,Szary,Używane
864,76999,Firmy,2014,179000,1968,Diesel,190,Automatyczna,Na przednie koła,Kombi,Czarny,Używane
865,230010,Osoby prywatnej,2019,74000,1968,Diesel,204,Automatyczna,4x4 (dołączany automatycznie),Sedan,Biały,Używane
866,209990,Firmy,2022,5,1968,Diesel,163,Automatyczna,Na przednie koła,Sedan,Biały,Nowe
867,79950,Osoby prywatnej,2011,173000,2967,Diesel,245,Automatyczna,4x4 (stały),Sedan,Biały,Używane
868,7500,Osoby prywatnej,2003,189961,1984,Benzyna,132,Manualna,Na przednie koła,Kombi,Niebieski,Używane
869,95000,Osoby prywatnej,2011,184000,2967,Diesel,245,Automatyczna,4x4 (stały),Sedan,Szary,Używane
870,364830,Firmy,2022,5,1984,Benzyna,265,Automatyczna,4x4 (dołączany automatycznie),Sedan,Czarny,Nowe
871,36900,Osoby prywatnej,2010,265000,1968,Diesel,170,Automatyczna,Na przednie koła,Kombi,Niebieski,Używane
872,100000,Osoby prywatnej,2013,170600,2967,Diesel,313,Automatyczna,4x4 (stały),Kombi,Inny kolor,Używane
873,106800,Firmy,2017,215430,1968,Diesel,190,Automatyczna,4x4 (stały),Kombi,Szary,Używane
874,301720,Firmy,2022,5,1968,Diesel,204,Automatyczna,4x4 (dołączany automatycznie),Sedan,Szary,Nowe
875,26500,Osoby prywatnej,2007,205000,2698,Diesel,180,Automatyczna,Na przednie koła,Sedan,Czarny,Używane
876,24700,Firmy,2004,199000,2393,Benzyna,177,Automatyczna,Na przednie koła,Sedan,Srebrny,Używane
877,331710,Firmy,2022,1,1968,Diesel,204,Automatyczna,4x4 (stały),Sedan,Szary,Nowe
878,341620,Firmy,2022,1,1968,Diesel,204,Automatyczna,4x4 (stały),Sedan,Czarny,Nowe
879,292750,Firmy,2018,48111,3000,Diesel,286,Automatyczna,4x4 (stały),Sedan,Szary,Używane
880,159800,Osoby prywatnej,2018,103443,1984,Benzyna,252,Automatyczna,4x4 (stały),Sedan,Szary,Używane
881,19800,Firmy,2008,208000,2393,Benzyna,177,Manualna,4x4 (dołączany automatycznie),Sedan,Szary,Używane
882,30000,Osoby prywatnej,2009,300000,2773,Benzyna,190,Manualna,Na przednie koła,Kombi,Czarny,Używane
883,9900,Firmy,2002,259000,1984,Benzyna+LPG,170,Automatyczna,Na przednie koła,Kombi,Czarny,Używane
884,263930,Firmy,2022,5,1968,Diesel,204,Automatyczna,Na przednie koła,Sedan,Czarny,Nowe
885,239900,Firmy,2018,140500,3000,Diesel,286,Automatyczna,4x4 (dołączany automatycznie),Kombi,Szary,Używane
886,105999,Firmy,2016,196000,1968,Diesel,190,Automatyczna,Na przednie koła,Kombi,Brązowy,Używane
887,42400,Firmy,2011,221000,1968,Diesel,170,Automatyczna,Na przednie koła,Kombi,Czarny,Używane
888,39900,Firmy,2010,232962,1968,Diesel,170,Manualna,Na przednie koła,Kombi,Czarny,Używane
889,22900,Osoby prywatnej,2007,240000,1968,Diesel,140,Manualna,Na przednie koła,Kombi,Srebrny,Używane
