,Cena,Oferta od,Kategoria,Marka pojazdu,Model pojazdu,Wersja,Rok produkcji,Przebieg,Pojemność skokowa,Rodzaj paliwa,Moc,Skrzynia biegów,Napęd,Spalanie W Mieście,Typ nadwozia,Liczba drzwi,Liczba miejsc,Kolor,Rodzaj koloru,Kraj pochodzenia,Pierwsza rejestracja,Zarejestrowany w Polsce,Pierwszy właściciel,Bezwypadkowy,Serwisowany w ASO,Stan,Numer rejestracyjny pojazdu,Emisja CO2,Faktura VAT,Leasing,Tuning,Okres gwarancji producenta
224,20900,Osoby prywatnej,Osobowe,Audi,A6,2.0 TDI,2007,336 000 km,1 968 cm3,Diesel,140 KM,Manualna,null,8 l/100km,Kombi,5,5,Czarny,null,Polska,11/06/2007,null,null,null,null,Używane,GD893WE,null,null,null,null,null
225,207624,Firmy,Osobowe,Audi,A6,50 TDI mHEV Quattro Sport Tiptronic,2019,160 000 km,2 967 cm3,Diesel,286 KM,Automatyczna,4x4 (stały),7 l/100km,Kombi,5,5,Czarny,Metalik,Niemcy,22/02/2019,Tak,Tak,Tak,Tak,Używane,null,155 g/km,Tak,null,null,null
226,192900,Osoby prywatnej,Osobowe,Audi,A6,Avant 45 TDI quattro tiptronic,2019,150 900 km,2 967 cm3,Diesel,231 KM,Automatyczna,4x4 (stały),"6,20 l/100km",Kombi,5,5,Inny kolor,Perłowy,Niemcy,null,Tak,null,Tak,Tak,Używane,null,null,Tak,null,null,null
227,21900,Osoby prywatnej,Osobowe,Audi,A6,2.0 TDI,2006,345 000 km,1 968 cm3,Diesel,140 KM,Manualna,Na przednie koła,8 l/100km,Kombi,5,5,Szary,null,null,null,Tak,null,null,null,Używane,null,null,null,null,null,null
228,58500,Osoby prywatnej,Osobowe,Audi,A6,3.0 TDI Quattro S tronic,2012,340 000 km,2 967 cm3,Diesel,204 KM,Automatyczna,null,6 l/100km,Sedan,5,5,Czarny,Metalik,null,09/08/2012,Tak,null,null,null,Używane,PSZ 61345,null,null,null,null,null
229,105900,Firmy,Osobowe,Audi,A6,3.0 TDI Quattro S tronic,2014,184 763 km,2 967 cm3,Diesel,245 KM,Automatyczna,4x4 (stały),7 l/100km,Kombi,5,5,Czarny,Metalik,Polska,29/05/2014,Tak,Tak,Tak,Tak,Używane,SBE2368F,null,Tak,Tak,null,null
230,44700,Firmy,Osobowe,Audi,A6,null,2011,320 000 km,2 700 cm3,Diesel,240 KM,Automatyczna,4x4 (stały),null,Kombi,5,5,Czarny,Metalik,null,null,null,Tak,Tak,Tak,Używane,null,null,null,null,null,null
231,204900,Firmy,Osobowe,Audi,A6,50 TDI mHEV Quattro Sport Tiptronic,2019,135 000 km,2 967 cm3,Diesel,286 KM,Automatyczna,4x4 (stały),7 l/100km,Sedan,5,5,Biały,Metalik,Niemcy,null,null,Tak,Tak,Tak,Używane,null,171 g/km,Tak,Tak,null,null
232,34900,Osoby prywatnej,Osobowe,Audi,A6,4.2 Quattro Tiptronic,2005,297 000 km,4 163 cm3,Benzyna,334 KM,Automatyczna,null,16 l/100km,Kombi,5,5,Szary,null,Szwajcaria,null,Tak,null,null,null,Używane,null,null,null,null,null,null
233,294500,Firmy,Osobowe,Audi,A6,null,2021,30 714 km,2 967 cm3,Diesel,286 KM,Automatyczna,4x4 (stały),null,Sedan,4,5,Czarny,Metalik,Polska,14/06/2021,null,Tak,Tak,Tak,Używane,null,null,Tak,Tak,null,null
234,87500,Osoby prywatnej,Osobowe,Audi,A6,3.0 TDI Quattro Tiptronic,2013,142 500 km,2 967 cm3,Diesel,313 KM,Automatyczna,4x4 (dołączany automatycznie),8 l/100km,Kombi,5,5,Brązowy,null,Niemcy,29/05/2017,Tak,null,Tak,null,Używane,POB00779,null,Tak,null,null,null
235,152800,Osoby prywatnej,Osobowe,Audi,A6,3.0 TDI competition quattro tiptronic,2016,99 000 km,2 967 cm3,Diesel,326 KM,Automatyczna,4x4 (stały),"7,50 l/100km",Sedan,4,5,Szary,Metalik,Niemcy,null,null,Tak,Tak,Tak,Używane,null,null,null,null,null,null
236,132800,Firmy,Osobowe,Audi,A6,2.0 TDI ultra S tronic,2018,153 000 km,1 968 cm3,Diesel,190 KM,Automatyczna,Na przednie koła,5 l/100km,Kombi,5,5,Szary,Perłowy,null,01/01/2018,null,Tak,Tak,Tak,Używane,SHADOW LINE * DAYTONA,118 g/km,null,Tak,null,null
